steps,time,reward,delta,converged
1,0.006427000000000405,1.1194551871559837,0.10622485871518939,False
2,0.009579000000000448,1.5416254545926664,5.2694626634114e-06,False
3,0.009392000000000067,1.541635584624082,5.2695084786257614e-06,False
4,0.010528000000000759,1.54163575210797,5.269508478752179e-06,False
5,0.010233999999998744,1.541635584624082,5.2695084786257614e-06,False
6,0.011637999999999593,1.54163575210797,5.269508478752179e-06,False
7,0.010152999999998968,1.541635584624082,5.2695084786257614e-06,False
8,0.011388000000000176,1.54163575210797,5.269508478752179e-06,False
9,0.011395999999999518,1.541635584624082,5.2695084786257614e-06,False
10,0.011345999999999634,1.54163575210797,5.269508478752179e-06,False
11,0.011065999999999576,1.541635584624082,5.2695084786257614e-06,False
12,0.011046000000000333,1.54163575210797,5.269508478752179e-06,True
