params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.994256,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.8967899999999993,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.959664,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",2.972101000000002,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",2.9164390000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.038907000000002,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",3.2205410000000043,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",3.2785730000000015,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",3.514448999999999,100,0.00018349310400652395,0.0,0.0,0.00684931506849315,0.00088880147896198
"{""discount_factor"": 0.9}",3.819880000000005,100,0.0015952948653540867,0.0,0.0,0.011363636363636364,0.0027911254658619386
