params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.2038200000000074,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.6626909999999953,100,0.0004,0.0,0.0,0.04,0.00397994974842648
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.5995259999999973,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",2.4878669999999943,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.2298099999999863,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.2160309999999868,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.0082529999999963,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.0746540000000095,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.1284680000000264,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.0626499999999908,100,0.0,0.0,0.0,0.0,0.0
