params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.559656000000018,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",3.6504099999999653,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.663626000000022,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.405702000000019,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.41732300000001,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.106920999999943,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.600006000000008,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.7, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",6.611084000000005,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.8, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",5.769535000000019,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.9, ""epsilon_decay"": 0.0001, ""epsilon"": 0.1}",5.775294999999915,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.0, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.571162999999956,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.1, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",3.5415590000000066,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.2, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",5.935569999999984,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.3, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",5.785797000000002,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.4, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",5.835050000000024,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.5, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",5.682900999999902,100,0.0,0.0,0.0,0.0,0.0
"{""alpha"": 0.1, ""q_init"": ""random"", ""discount_factor"": 0.6, ""epsilon_decay"": 0.0001, ""epsilon"": 0.3}",5.808266000000003,100,0.0,0.0,0.0,0.0,0.0
