steps,time,reward,delta,converged
1,0.0005740000000002965,246.9,100.0,False
2,0.0004569999999830543,659.0100000000002,90.0,False
3,0.00044900000000325235,1348.9680000000003,81.00000000000001,False
4,0.0004549999999881038,2257.0833000000002,72.9,False
5,0.0004930000000058499,3332.8248599999997,65.61000000000001,False
6,0.00044900000000325235,4533.586274999999,59.049000000000035,False
7,0.00044700000000830187,5823.6061584,53.14410000000004,False
8,0.0004479999999773554,7173.025202370002,47.829690000000056,False
9,0.0004910000000108994,8557.063375962,43.046721000000076,False
10,0.00044700000000830187,9955.302662811899,38.74204890000007,False
11,0.00044699999997988016,11351.062458532202,34.867844010000084,False
12,0.00044700000000830187,12730.573838943841,31.38105960900006,False
13,0.0004500000000007276,14029.467277219965,28.24295364810007,False
14,0.0004679999999837037,15224.144216534594,25.418658283290142,False
15,0.0004590000000064265,16299.353461917763,22.876792454961162,False
16,0.00045599999998557905,17267.041782762608,20.58911320946504,False
17,0.00047399999999697684,18137.96127152298,18.53020188851849,False
18,0.00046000000000390173,18921.788811407307,16.67718169966662,False
19,0.000457000000011476,19627.2335973032,15.009463529699985,False
20,0.0005020000000115488,20262.133904609505,13.508517176730038,False
21,0.0004590000000064265,20833.544181185185,12.157665459057057,False
22,0.0006070000000022446,21347.81343010329,10.941898913151363,False
23,0.00045599999998557905,21810.655754129584,9.847709021836238,False
24,0.0004940000000033251,22227.213845753256,8.862938119652597,False
25,0.0005039999999780775,22602.116128214555,7.976644307687366,False
26,0.00045599999998557905,22939.52818242973,7.178979876918675,False
27,0.00045099999999820284,23243.199031223376,6.461081889226875,False
28,0.00044900000000325235,23516.50279513767,5.814973700304165,False
29,0.0004500000000007276,23762.47618266053,5.233476330273788,False
30,0.00046699999998622843,23983.852231431112,4.710128697246432,False
31,0.0004930000000058499,24183.09067532462,4.2391158275218,False
32,0.00044900000000325235,24362.405274828776,3.8152042447696317,False
33,0.0004529999999931533,24523.788414382532,3.4336838202926856,False
34,0.0004519999999956781,24669.033239980905,3.090315438263417,False
35,0.00047200000000202635,24799.753583019447,2.781283894437081,False
36,0.0004999999999881766,24917.401891754125,2.5031555049934013,False
37,0.000457000000011476,25023.28536961534,2.2528399544941067,False
38,0.00045300000002157503,25118.580499690426,2.0275559590447187,False
39,0.00045600000001400076,25204.346116758017,1.8248003631402412,False
40,0.00044899999997483064,25281.53517211884,1.6423203268262228,False
41,0.0004749999999944521,25351.00532194359,1.4780882941436175,False
42,0.0005620000000021719,25413.528456785854,1.3302794647293013,False
43,0.000457000000011476,25469.799278143895,1.197251518256337,False
44,0.0006339999999909196,25520.44301736612,1.077526366430675,False
45,0.0004540000000190503,25566.022382666146,0.9697737297876188,False
46,0.0004500000000007276,25607.043811436164,0.8727963568088626,False
47,0.0005360000000109721,25643.963097329168,0.7855167211280332,False
48,0.0004540000000190503,25677.190454632884,0.7069650490152526,False
49,0.000457000000011476,25707.095076206224,0.6362685441137046,False
50,0.0004519999999956781,25734.009235622223,0.5726416897023796,False
51,0.00045099999999820284,25758.231979096632,0.5153775207321019,False
52,0.0004500000000007276,25780.032448223592,0.463839768658886,False
53,0.0004989999999907013,25799.652870437854,0.41745579179297465,False
54,0.0004549999999881038,25817.31125043071,0.37571021261368287,False
55,0.00045099999999820284,25833.20379242425,0.3381391913523544,False
56,0.0004940000000033251,25847.507080218453,0.30432527221711325,False
57,0.00045399999999062857,25860.380039233238,0.2738927449954076,False
58,0.0004500000000007276,25871.96570234654,0.24650347049589527,False
59,0.00045800000000895125,25882.392799148503,0.22185312344640806,False
60,0.00045300000002157503,25891.777186270287,0.19966781110179,False
61,0.0004529999999931533,25900.223134679876,0.17970102999152004,False
62,0.00045800000000895125,25907.824488248523,0.16173092699233393,False
63,0.00045599999998557905,25914.6657064603,0.14555783429312896,False
64,0.0004989999999907013,25920.822802850897,0.131002050863799,False
65,0.00048799999999005195,25926.364189602435,0.11790184577751006,False
66,0.00044900000000325235,25931.351437678808,0.10611166119974769,False
67,0.0004519999999956781,25935.83996094755,0.09550049507976155,False
68,0.0005890000000192686,25939.879631889424,0.08595044557182518,False
69,0.0005349999999850752,25943.515335737116,0.07735540101464267,False
70,0.0004909999999824777,25946.787469200022,0.0696198609131784,False
71,0.0005139999999812517,25949.732389316658,0.06265787482186624,False
72,0.00045799999998052954,25952.382817421603,0.056392087339645514,False
73,0.00044700000000830187,25954.768202716077,0.050752878605749174,False
74,0.00044700000000830187,25956.9150494811,0.045677590745185626,False
75,0.00044900000000325235,25958.84721156961,0.04110983167066706,False
76,0.0004480000000057771,25960.586157449274,0.03699884850362878,False
77,0.0005539999999939482,25962.151208740983,0.03329896365329432,False
78,0.0005960000000015953,25963.559754903512,0.02996906728793647,False
79,0.0006970000000023902,25964.827446449784,0.02697216055915419,False
80,0.0004619999999988522,25965.968368841422,0.024274944503247298,False
81,0.0004619999999988522,25966.99519899392,0.021847450052945305,False
82,0.000457000000011476,25967.919346131144,0.019662705047608142,False
83,0.00045799999998052954,25968.75107855467,0.01769643454292691,False
84,0.00046299999999632746,25969.499637735822,0.015926791088645587,False
85,0.0005380000000059226,25970.173340998866,0.014334111979792397,False
86,0.0005250000000103228,25970.7796739356,0.01290070078187,False
87,0.00045800000000895125,25971.325373578675,0.011610630703671632,False
88,0.0005899999999883221,25971.816503257436,0.010449567633315837,False
89,0.00046299999999632746,25972.258519968316,0.009404610869978569,False
90,0.0005900000000167438,25972.656335008112,0.008464149782980712,False
91,0.000552999999996473,25973.01436854392,0.007617734804739484,False
92,0.0004659999999887532,25973.33659872616,0.006855961324276905,False
93,0.0004869999999925767,25973.626605890167,0.006170365191849214,False
94,0.0005270000000052733,25973.887612337778,0.00555332867264724,False
95,0.000484000000000151,25974.122518140623,0.0049979958054109375,False
96,0.00048100000000772525,25974.33393336319,0.004498196224972162,False
97,0.0004780000000152995,25974.524207063492,0.0040483766025545265,False
98,0.00048099999997930354,25974.69545339378,0.0036435389423559172,False
99,0.00047399999999697684,25974.849575091026,0.0032791850480862195,False
100,0.0005199999999945248,25974.988284618543,0.0029512665432775975,False
101,0.0004689999999811789,25975.113123193325,0.002656139888983944,False
102,0.00046499999999127795,25975.22547791061,0.0023905259000684964,False
103,0.0005559999999888987,25975.326597156192,0.002151473310050278,False
104,0.00045800000000895125,25975.417604477196,0.0019363259790452503,False
105,0.00045600000001400076,25975.499511066104,0.0017426933811748313,False
106,0.000461000000001377,25975.573226996115,0.0015684240430573482,False
107,0.0006480000000124164,25975.639571333133,0.001411581638762982,False
108,0.0004920000000083746,25975.699281236444,0.0012704234749207899,False
109,0.0006070000000022446,25975.753020149426,0.001143381127462817,False
110,0.000686999999999216,25975.80138517111,0.0010290430147392726,False
111,0.0006030000000123437,25975.84491369063,0.0009261387132823984,False
112,0.0004540000000190503,25975.884089358184,0.0008335248419371055,False
113,0.000572000000005346,25975.919347458992,0.0007501723577547637,False
114,0.0005769999999927222,25975.95107974972,0.0006751551219394969,False
115,0.0005979999999965457,25975.97963881138,0.000607639609825128,False
116,0.0005219999999894753,25976.005341966862,0.0005468756488653526,False
117,0.0004749999999944521,25976.028474806804,0.0004921880839674486,False
118,0.00046299999999632746,25976.049294362765,0.000442969275525229,False
