params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.088090000000008,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",3.0289320000000117,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",3.018138999999991,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",3.1956869999999924,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",3.2346100000000035,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",3.418241000000009,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",4.163932000000003,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",4.520517999999996,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",4.396309000000002,100,9.626736899464173e-05,0.0,0.0,0.005494505494505495,0.0006807215758293754
"{""discount_factor"": 0.9}",4.834202000000005,100,0.0008471661237462929,0.0,0.0,0.00847457627118644,0.002087057301502306
