episode,length,time,reward,delta
0,446.0,0.025815999999849737,-1732.0,100.00000639844342
1,53.0,0.0031180000000858854,47.0,10.000000639844345
2,53.0,0.0031100000001060835,47.0,1.0000000639844302
3,24.0,0.0015090000001691806,76.0,0.10000000639844586
4,73.0,0.00420799999983501,-72.0,0.01000000063984885
5,77.0,0.004327999999986787,23.0,0.0010000000639820428
6,24.0,0.0013509999998859712,76.0,0.00010000000639820428
7,87.0,0.0049019999996744446,-86.0,1.0000000642662599e-05
8,17.0,0.0009689999997135601,83.0,1.0000000685295163e-06
9,27.0,0.0014820000001236622,73.0,1.000000082740371e-07
10,23.0,0.0013290000001688895,77.0,9.999993721976352e-09
11,32.0,0.0018159999999625143,68.0,1.0000036354540498e-09
12,37.0,0.0021629999996548577,-36.0,1.000017846308765e-10
13,19.0,0.0010720000000219443,81.0,1.000444171950221e-11
14,23.0,0.0012809999998353305,77.0,9.947598300641403e-13
15,16.0,0.0009109999996326223,84.0,9.947598300641403e-14
16,21.0,0.0011710000003404275,79.0,1.4210854715202004e-14
17,17.0,0.0009990000003199384,83.0,0.0
18,23.0,0.0015189999999165593,77.0,0.0
19,22.0,0.0012709999996332044,78.0,0.0
20,21.0,0.0011749999998755811,79.0,0.0
21,26.0,0.0014430000001084409,74.0,0.0
22,17.0,0.0009639999998398707,83.0,0.0
23,24.0,0.0014430000001084409,76.0,0.0
24,17.0,0.0009610000001885055,83.0,0.0
25,17.0,0.0010000000002037268,83.0,0.0
26,18.0,0.001014999999824795,82.0,0.0
27,16.0,0.0009180000001833832,84.0,0.0
28,16.0,0.0009070000000974687,84.0,0.0
29,18.0,0.0010099999999511056,82.0,0.0
30,16.0,0.0010830000001078588,84.0,0.0
31,18.0,0.0010090000000673172,82.0,0.0
32,18.0,0.0010179999999309075,82.0,0.0
33,18.0,0.0010489999999663269,82.0,0.0
34,18.0,0.0010130000000572181,82.0,0.0
35,16.0,0.0010050000000774162,84.0,0.0
36,16.0,0.0010010000000875152,84.0,0.0
37,21.0,0.0011669999998957792,79.0,0.0
38,17.0,0.000950000000102591,83.0,0.0
39,21.0,0.0012419999998201092,79.0,0.0
40,16.0,0.0009030000001075678,84.0,0.0
41,20.0,0.001310000000103173,80.0,0.0
42,16.0,0.0009000000000014552,84.0,0.0
43,22.0,0.0012849999998252315,78.0,0.0
44,16.0,0.0010499999998501153,84.0,0.0
45,19.0,0.0010560000000623404,81.0,0.0
46,16.0,0.0019800000000032014,84.0,0.0
47,17.0,0.0022950000002310844,83.0,0.0
48,16.0,0.001645999999709602,84.0,0.0
49,17.0,0.0017579999998815765,83.0,0.0
50,20.0,0.0019320000001243898,80.0,0.0
51,16.0,0.0012830000000576547,84.0,0.0
52,16.0,0.0010309999997843988,84.0,0.0
53,16.0,0.0011329999997542473,84.0,0.0
54,22.0,0.0013949999997748819,78.0,0.0
55,18.0,0.0011779999999816937,82.0,0.0
56,18.0,0.0011429999999563734,82.0,0.0
57,18.0,0.0011540000000422879,82.0,0.0
58,18.0,0.0011190000000169675,82.0,0.0
59,18.0,0.0011389999999664724,82.0,0.0
60,16.0,0.0012219999998706044,84.0,0.0
61,17.0,0.0009950000003300374,83.0,0.0
62,18.0,0.001150000000052387,82.0,0.0
63,16.0,0.0009430000000065775,84.0,0.0
64,18.0,0.0012459999998100102,82.0,0.0
65,17.0,0.0009890000001178123,83.0,0.0
66,16.0,0.0009410000002390007,84.0,0.0
67,17.0,0.0011489999997138511,83.0,0.0
68,16.0,0.0012910000000374566,84.0,0.0
69,18.0,0.001055000000178552,82.0,0.0
70,16.0,0.0009490000002188026,84.0,0.0
71,16.0,0.0010440000000926375,84.0,0.0
72,28.0,0.0019440000000940927,72.0,0.0
73,22.0,0.0014779999996790139,78.0,0.0
74,29.0,0.0016999999998006388,-226.0,0.0
75,17.0,0.0010609999999360298,-16.0,0.0
76,26.0,0.002092000000175176,-25.0,0.0
77,20.0,0.0017579999998815765,80.0,0.0
78,18.0,0.0013949999997748819,82.0,0.0
79,18.0,0.0012229999997543928,82.0,0.0
80,16.0,0.0010179999999309075,84.0,0.0
81,20.0,0.001251000000138447,80.0,0.0
82,18.0,0.0011590000003707246,82.0,0.0
83,19.0,0.0014040000000932196,81.0,0.0
84,16.0,0.0009970000000976142,84.0,0.0
85,16.0,0.0009979999999814027,84.0,0.0
86,17.0,0.0014099999998506973,83.0,0.0
87,16.0,0.0009679999998297717,84.0,0.0
88,16.0,0.000992999999652966,84.0,0.0
89,22.0,0.0014369999998962157,78.0,0.0
90,18.0,0.0016590000000178406,82.0,0.0
91,20.0,0.00136099999963335,80.0,0.0
92,18.0,0.0010870000000977598,82.0,0.0
93,18.0,0.0011559999998098647,82.0,0.0
94,16.0,0.0013490000001183944,84.0,0.0
95,18.0,0.0011020000001735752,82.0,0.0
96,17.0,0.0011770000000979053,83.0,0.0
97,17.0,0.0014300000002549496,83.0,0.0
98,16.0,0.0010560000000623404,84.0,0.0
99,18.0,0.0013799999996990664,82.0,0.0
100,18.0,0.0016999999998006388,82.0,0.0
101,16.0,0.0010990000000674627,84.0,0.0
102,16.0,0.001025000000026921,84.0,0.0
103,16.0,0.0009169999998448475,84.0,0.0
104,20.0,0.0011070000000472646,80.0,0.0
105,16.0,0.0012489999999161228,84.0,0.0
106,19.0,0.0011910000002899324,81.0,0.0
107,16.0,0.0009359999999105639,84.0,0.0
108,17.0,0.0010489999999663269,83.0,0.0
109,16.0,0.0009639999998398707,84.0,0.0
110,21.0,0.0012329999999565189,-20.0,0.0
111,16.0,0.0009909999998853891,84.0,0.0
112,19.0,0.0012740000001940643,81.0,0.0
113,17.0,0.0010059999999612046,83.0,0.0
