step,reward,mean,median,std,max,min
0,4.9411764705882355,4.9411764705882355,4.9411764705882355,0.0,4.9411764705882355,4.9411764705882355
1,-1.0,1.9705882352941178,1.9705882352941178,2.9705882352941178,4.9411764705882355,-1.0
2,4.9411764705882355,2.9607843137254903,4.9411764705882355,2.8006974470526003,4.9411764705882355,-1.0
3,-1.0,1.9705882352941178,1.9705882352941178,2.9705882352941178,4.9411764705882355,-1.0
4,4.9411764705882355,2.5647058823529414,4.9411764705882355,2.910570164954129,4.9411764705882355,-1.0
5,-1.0,1.9705882352941178,1.9705882352941178,2.9705882352941178,4.9411764705882355,-1.0
6,4.9411764705882355,2.3949579831932772,4.9411764705882355,2.9401198582261614,4.9411764705882355,-1.0
7,-1.0,1.9705882352941178,1.9705882352941178,2.9705882352941178,4.9411764705882355,-1.0
8,-1.0,1.6405228758169936,-1.0,2.9521943232350165,4.9411764705882355,-1.0
9,-1.0,1.3764705882352941,-1.0,2.9105701649541293,4.9411764705882355,-1.0
10,4.9411764705882355,1.700534759358289,-1.0,2.958287610054641,4.9411764705882355,-1.0
11,4.9411764705882355,1.9705882352941178,1.9705882352941178,2.9705882352941173,4.9411764705882355,-1.0
12,4.9411764705882355,2.1990950226244346,4.9411764705882355,2.961786473028027,4.9411764705882355,-1.0
13,4.9411764705882355,2.3949579831932772,4.9411764705882355,2.9401198582261614,4.9411764705882355,-1.0
14,-1.0,2.1686274509803924,4.9411764705882355,2.963979576973867,4.9411764705882355,-1.0
15,-1.0,1.9705882352941178,1.9705882352941178,2.9705882352941178,4.9411764705882355,-1.0
16,-1.0,1.795847750865052,-1.0,2.965444355702753,4.9411764705882355,-1.0
17,4.9411764705882355,1.9705882352941175,1.9705882352941178,2.970588235294118,4.9411764705882355,-1.0
18,4.9411764705882355,2.1269349845201235,4.9411764705882355,2.966470993904083,4.9411764705882355,-1.0
19,4.9411764705882355,2.267647058823529,4.9411764705882355,2.955697974934371,4.9411764705882355,-1.0
20,-1.0,2.1120448179271705,4.9411764705882355,2.9672183099491685,4.9411764705882355,-1.0
21,4.9411764705882355,2.240641711229946,4.9411764705882355,2.9582876100546405,4.9411764705882355,-1.0
22,4.9411764705882355,2.3580562659846542,4.9411764705882355,2.94521017736606,4.9411764705882355,-1.0
23,4.9411764705882355,2.465686274509804,4.9411764705882355,2.9290395004561827,4.9411764705882355,-1.0
24,4.9411764705882355,2.5647058823529414,4.9411764705882355,2.910570164954129,4.9411764705882355,-1.0
25,-1.0,2.4276018099547514,4.9411764705882355,2.935222829061489,4.9411764705882355,-1.0
26,-1.0,2.300653594771242,4.9411764705882355,2.9521943232350165,4.9411764705882355,-1.0
27,4.9411764705882355,2.3949579831932772,4.9411764705882355,2.9401198582261614,4.9411764705882355,-1.0
28,-1.0,2.2778904665314403,4.9411764705882355,2.954650538108422,4.9411764705882355,-1.0
29,-1.0,2.1686274509803924,4.9411764705882355,2.9639795769738675,4.9411764705882355,-1.0
30,4.9411764705882355,2.2580645161290325,4.9411764705882355,2.956645371299227,4.9411764705882355,-1.0
31,4.9411764705882355,2.3419117647058822,4.9411764705882355,2.947289144310923,4.9411764705882355,-1.0
32,4.9411764705882355,2.420677361853832,4.9411764705882355,2.9362926015335282,4.9411764705882355,-1.0
33,-1.0,2.320069204152249,4.9411764705882355,2.9499589007431615,4.9411764705882355,-1.0
34,4.9411764705882355,2.3949579831932772,4.9411764705882355,2.9401198582261614,4.9411764705882355,-1.0
35,4.9411764705882355,2.4656862745098036,4.9411764705882355,2.9290395004561818,4.9411764705882355,-1.0
36,4.9411764705882355,2.532591414944356,4.9411764705882355,2.916941358637647,4.9411764705882355,-1.0
37,-1.0,2.439628482972136,4.9411764705882355,2.9333250262672848,4.9411764705882355,-1.0
38,4.9411764705882355,2.5037707390648563,4.9411764705882355,2.9223468105857293,4.9411764705882355,-1.0
39,-1.0,2.4161764705882356,4.9411764705882355,2.9369789900908887,4.9411764705882355,-1.0
